800	1160.9	1164.4	0	0.1
900	1060.9	1064.5	0	0.1
1000	961	964.5	0	0.1
1050	911	914.5	0	0.1
1100	861	864.6	0	0.05
1125	836	839.6	0	0.05
1150	811	814.6	0	0.05
1175	786.1	789.6	0	0.05
1200	761.1	764.6	0	0.05
1220	741.1	744.6	0	0.1
1225	736.1	739.6	0	0.05
1240	721.1	724.6	0	0.1
1250	711.1	714.6	0	0.05
1260	701.1	704.6	0	0.1
1270	691.1	694.6	0	0.1
1275	686.1	689.6	0	0.1
1280	681.1	684.6	0	0.1
1290	671.1	674.7	0	0.1
1300	661.1	664.7	0.05	0.1
1305	656.1	659.7	0	0.1
1310	651.1	654.7	0	0.1
1315	646.1	649.7	0	0.1
1320	641.2	644.7	0	0.1
1325	636.2	639.7	0.05	0.1
1330	631.2	634.7	0	0.1
1335	626.2	629.7	0	0.15
1340	621.2	624.7	0	0.15
1345	616.2	619.7	0	0.15
1350	611.2	614.7	0.05	0.15
1355	606.2	609.7	0.05	0.35
1360	601.2	604.7	0	0.35
1365	596.2	599.7	0	0.35
1370	591.2	594.7	0.05	0.35
1375	586.2	589.7	0.1	0.15
1380	581.2	584.7	0.1	0.2
1385	576.2	579.7	0.1	0.35
1390	571.2	574.7	0.1	0.35
1395	566.2	569.7	0.1	0.15
1400	561.2	564.8	0.1	0.15
1405	556.2	559.8	0	0.35
1410	551.2	554.8	0.05	0.4
1415	546.2	549.8	0	0.4
1420	541.2	544.8	0.05	0.4
1425	536.3	539.8	0.15	0.2
1430	531.3	534.8	0.05	0.4
1435	526.3	529.8	0.15	0.4
1440	521.3	524.8	0.05	0.3
1445	516.3	519.8	0.05	0.4
1450	511.3	514.8	0.15	0.25
1455	506.3	509.8	0.05	0.45
1460	501.3	504.8	0.05	0.45
1465	496.3	499.8	0.05	0.45
1470	491.3	494.8	0.05	0.45
1475	486.3	489.9	0.15	0.25
1480	481.3	484.9	0.05	0.45
1485	476.3	479.9	0.2	0.5
1490	471.3	474.9	0.05	0.3
1495	466.4	469.9	0.05	0.5
1500	461.4	464.9	0.25	0.4
1505	456.4	459.9	0.3	0.35
1510	451.4	454.9	0.05	0.55
1515	446.4	449.9	0.05	0.55
1520	441.4	445	0.1	0.6
1525	436.4	440	0.3	0.4
1530	431.4	435	0.05	0.6
1535	426.4	430	0.1	0.65
1540	421.4	425	0.1	0.65
1545	416.5	420	0.1	0.65
1550	411.5	415	0.3	0.7
1555	406.5	410.1	0.15	0.7
1560	401.5	405.1	0.15	0.7
1565	396.5	400.1	0.15	0.7
1570	391.5	395.1	0.2	0.75
1575	386.5	390.1	0.35	0.75
1580	381.5	385.1	0.25	0.8
1585	376.6	380.2	0.25	0.8
1590	371.6	375.2	0.25	0.8
1595	366.6	370.2	0.25	0.8
1600	361.6	365.2	0.5	0.85
1605	356.6	360.3	0.3	0.85
1610	351.6	355.3	0.35	0.9
1615	346.7	350.3	0.35	0.9
1620	341.7	345.3	0.35	0.9
1625	336.7	340.4	0.4	0.95
1630	331.7	335.4	0.4	0.95
1635	326.7	330.4	0.45	1
1640	321.8	325.4	0.45	1
1645	316.8	320.5	0.5	1.05
1650	311.8	315.5	0.5	0.85
1655	306.8	310.5	0.55	1.1
1660	301.9	305.6	0.55	1.1
1665	296.9	300.6	0.6	1.15
1670	291.9	295.7	0.6	1.15
1675	287	290.7	0.65	1.2
1680	282	285.7	0.7	1.25
1685	277	280.8	0.75	1.3
1690	272.1	275.8	0.75	1.3
1695	267.1	270.9	0.8	1.35
1700	262.1	265.9	0.85	1.4
1705	257.2	261	0.85	1.4
1710	252.2	256	0.9	1.45
1715	247.3	251.1	0.95	1.5
1720	242.3	246.1	1	1.55
1725	237.4	241.2	1.05	1.6
1730	232.4	236.3	1.1	1.65
1735	227.5	231.3	1.15	1.7
1740	222.5	226.4	1.2	1.75
